AGE,MALE,FEMALE
0,0.003890,0.003150
1,0.000280,0.000190
2,0.000190,0.000140
3,0.000150,0.000110
4,0.000120,0.000090
5,0.000100,0.000080
6,0.000090,0.000070
7,0.000090,0.000070
8,0.000090,0.000070
9,0.000090,0.000070
10,0.000090,0.000080
11,0.000100,0.000090
12,0.000110,0.000100
13,0.000140,0.000120
14,0.000170,0.000130
15,0.000230,0.000150
16,0.000300,0.000170
17,0.000400,0.000190
18,0.000500,0.000210
19,0.000610,0.000230
20,0.000720,0.000250
21,0.000810,0.000260
22,0.000880,0.000270
23,0.000940,0.000270
24,0.000990,0.000270
25,0.001040,0.000280
26,0.001090,0.000280
27,0.001140,0.000290
28,0.001190,0.000310
29,0.001260,0.000330
30,0.001350,0.000350
31,0.001440,0.000380
32,0.001550,0.000420
33,0.001670,0.000460
34,0.001790,0.000510
35,0.001930,0.000570
36,0.002070,0.000630
37,0.002220,0.000690
38,0.002380,0.000750
39,0.002560,0.000820
40,0.002760,0.000900
41,0.002990,0.000990
42,0.003260,0.001090
43,0.003560,0.001200
44,0.003900,0.001330
45,0.004290,0.001480
46,0.004720,0.001640
47,0.005210,0.001840
48,0.005750,0.002060
49,0.006350,0.002300
50,0.007000,0.002580
51,0.007710,0.002880
52,0.008470,0.003190
53,0.009280,0.003520
54,0.010150,0.003880
55,0.011110,0.004270
56,0.012170,0.004710
57,0.013350,0.005200
58,0.014660,0.005760
59,0.016100,0.006380
60,0.017650,0.007070
61,0.019300,0.007830
62,0.021070,0.008630
63,0.022970,0.009490
64,0.025000,0.010420
65,0.027140,0.011420
66,0.029410,0.012520
67,0.031770,0.013750
68,0.034170,0.015100
69,0.036650,0.016620
70,0.039250,0.018290
71,0.042010,0.020140
72,0.045010,0.022190
73,0.048330,0.024450
74,0.052000,0.026940
75,0.056090,0.029700
76,0.060640,0.032770
77,0.065710,0.036210
78,0.071370,0.040110
79,0.077720,0.044610
80,0.084800,0.049870
81,0.092690,0.056000
82,0.101440,0.063160
83,0.111070,0.071480
84,0.121540,0.080920
85,0.132800,0.091440
86,0.144770,0.102990
87,0.157300,0.115440
88,0.170240,0.128630
89,0.183560,0.142580
90,0.197220,0.157280
91,0.211220,0.172710
92,0.225550,0.188880
93,0.240250,0.205770
94,0.255240,0.223290
95,0.270450,0.241300
96,0.285810,0.259690
97,0.301220,0.278290
98,0.316620,0.296960
99,0.331920,0.315540
100,0.347040,0.333870
